beer_id,sold_at,quantity,id,name,style_id,abv,price,style
1,2017-01-01,3,1,SpinCycle,1,7.2,4.99,IPA
1,2017-01-04,2,1,SpinCycle,1,7.2,4.99,IPA
1,2017-01-16,4,1,SpinCycle,1,7.2,4.99,IPA
1,2017-01-20,2,1,SpinCycle,1,7.2,4.99,IPA
2,2017-01-06,7,2,OldStyle,2,4.2,3.99,Pale
2,2017-01-16,3,2,OldStyle,2,4.2,3.99,Pale
4,2017-01-06,8,4,AbstRedRibbon,7,3.2,1.99,Unknown id 7
4,2017-01-17,5,4,AbstRedRibbon,7,3.2,1.99,Unknown id 7
3,2017-01-14,1,3,Pipewrench,1,8.3,10.99,IPA
3,2017-01-15,3,3,Pipewrench,1,8.3,10.99,IPA
3,2017-01-20,1,3,Pipewrench,1,8.3,10.99,IPA
